flow_psh,fpkts_per_second,total_bhlen,flow_iat_max,backward_packet_length_max,forward_iat_std,total_length_of_forward_packets,backward_packet_length_std,forward_iat_min,total_fhlen,total_length_of_backward_packets,total_backward_packets,forward_iat_max,forward_packet_length_mean,backward_iat_min,flow_iat_min,backward_packet_length_min,flow_syn,bpkts_per_second,flow_protocol,forward_iat_total,forward_packet_length_min,backward_iat_max,flow_iat_total,flow_urg,flow_fin,flow_ece,forward_packet_length_std,backward_packet_length_mean,flow_iat_std,flow_ack,backward_iat_total,backward_iat_mean,flow_rst,total_forward_packets,flow_packets_per_second,backward_iat_std,flow_cwr,forward_iat_mean,flow_iat_mean,forward_packet_length_max,reconnaissance,infection,action
0,4.0,100,0.0010175704956054688,-1,0.0,232,-1,0.00036597251892089844,0,0,0,0.0010175704956054688,58.0,-1,0.00036597251892089844,-1,4,0.0,6,0.0020749568939208984,58,-1,0.0020749568939208984,0,0,0,0.0,0,0.0,0,0,-1,0,4,4.0,-1,0,0.0,0.0,58,1,0,0
0,1.0,25,-1,-1,0.0,58,-1,-1,0,0,0,-1,58.0,-1,-1,-1,1,0.0,6,0,58,-1,0,0,0,0,0.0,0,0.0,0,0,-1,0,1,1.0,-1,0,0.0,0.0,58,1,0,0
0,4.0,100,0.0009779930114746094,-1,0.0,232,-1,0.0003266334533691406,0,0,0,0.0009779930114746094,58.0,-1,0.0003266334533691406,-1,4,0.0,6,0.0019567012786865234,58,-1,0.0019567012786865234,0,0,0,0.0,0,0.0,0,0,-1,0,4,4.0,-1,0,0.0,0.0,58,1,0,0
0,4.0,100,0.0009775161743164062,-1,0.0,232,-1,0.00032711029052734375,0,0,0,0.0009775161743164062,58.0,-1,0.00032711029052734375,-1,4,0.0,6,0.0019555091857910156,58,-1,0.0019555091857910156,0,0,0,0.0,0,0.0,0,0,-1,0,4,4.0,-1,0,0.0,0.0,58,1,0,0
0,4.0,100,0.000978231430053711,-1,0.0,232,-1,0.0003273487091064453,0,0,0,0.000978231430053711,58.0,-1,0.0003273487091064453,-1,4,0.0,6,0.0019559860229492188,58,-1,0.0019559860229492188,0,0,0,0.0,0,0.0,0,0,-1,0,4,4.0,-1,0,0.0,0.0,58,1,0,0
0,4.0,100,0.0009777545928955078,-1,0.0,232,-1,0.0003261566162109375,0,0,0,0.0009777545928955078,58.0,-1,0.0003261566162109375,-1,4,0.0,6,0.001954317092895508,58,-1,0.001954317092895508,0,0,0,0.0,0,0.0,0,0,-1,0,4,4.0,-1,0,0.0,0.0,58,1,0,0
0,4.0,100,0.000978708267211914,-1,0.0,232,-1,0.00032711029052734375,0,0,0,0.000978708267211914,58.0,-1,0.00032711029052734375,-1,4,0.0,6,0.0019576549530029297,58,-1,0.0019576549530029297,0,0,0,0.0,0,0.0,0,0,-1,0,4,4.0,-1,0,0.0,0.0,58,1,0,0
0,4.0,100,0.000978708267211914,-1,0.0,232,-1,0.00032448768615722656,0,0,0,0.000978708267211914,58.0,-1,0.00032448768615722656,-1,4,0.0,6,0.001953601837158203,58,-1,0.001953601837158203,0,0,0,0.0,0,0.0,0,0,-1,0,4,4.0,-1,0,0.0,0.0,58,1,0,0
0,1.0,25,-1,-1,0.0,58,-1,-1,0,0,0,-1,58.0,-1,-1,-1,1,0.0,6,0,58,-1,0,0,0,0,0.0,0,0.0,0,0,-1,0,1,1.0,-1,0,0.0,0.0,58,1,0,0
0,1.0,25,-1,-1,0.0,58,-1,-1,0,0,0,-1,58.0,-1,-1,-1,1,0.0,6,0,58,-1,0,0,0,0,0.0,0,0.0,0,0,-1,0,1,1.0,-1,0,0.0,0.0,58,1,0,0
0,1.0,25,-1,-1,0.0,58,-1,-1,0,0,0,-1,58.0,-1,-1,-1,1,0.0,6,0,58,-1,0,0,0,0,0.0,0,0.0,0,0,-1,0,1,1.0,-1,0,0.0,0.0,58,1,0,0
